type	gene_id
colon-specific	ELF3
colon-specific	LIMK2
colon-specific	TRIOBP
ileum-specific	CYP3A7
colon-specific	TUBB4B
colon-specific	ASL
colon-specific	ATP5F1
colon-specific	ATP5G1
colon-specific	BZW2
colon-specific	CD14
colon-specific	CLSTN1
colon-specific	FUCA1
colon-specific	HK2
colon-specific	IER3
colon-specific	LEFTY1
colon-specific	LGALS9
colon-specific	LLGL2
colon-specific	MPC1
colon-specific	MYO1D
colon-specific	PARM1
colon-specific	PIGZ
colon-specific	TFCP2L1
colon-specific	TRPM4
ileum-specific	HLA-DMB
colon-specific	EFNB2
colon-specific	PLSCR1
colon-specific	PPIF
colon-specific	HINT1
ileum-specific	CHN2
ileum-specific	CLU
ileum-specific	GBA3
ileum-specific	HLA-DRB5
ileum-specific	RP6-74O6.2
colon-specific	HSD11B2
colon-specific	DHRS9
colon-specific	SLC26A3
colon-specific	SMAGP
ileum-specific	CIDEC
ileum-specific	CTSH
colon-specific	RP11-510N19.5
ileum-specific	ENPP2
ileum-specific	ITM2B
colon-specific	CLMN
colon-specific	HMGCR
colon-specific	PDCD4
colon-specific	ZG16
colon-specific	HIBCH
colon-specific	WBP5
ileum-specific	CDHR2
ileum-specific	CTSO
ileum-specific	LYZ
ileum-specific	NR1H4
ileum-specific	PLCB3
ileum-specific	PSME1
ileum-specific	PXDC1
ileum-specific	SEC13
ileum-specific	SERPINB6
ileum-specific	SULT1E1
ileum-specific	TBX3
ileum-specific	SLC15A1
colon-specific	CA1
colon-specific	GSS
colon-specific	NTAN1
colon-specific	IFT74
colon-specific	MYOF
colon-specific	ATP6V0D1
colon-specific	CLTC
colon-specific	AK1
colon-specific	AMD1
ileum-specific	GTF2I
ileum-specific	TFPI
ileum-specific	TNIK
ileum-specific	DEGS1
colon-specific	BCL10
colon-specific	BDH1
colon-specific	C5orf30
colon-specific	CD63
colon-specific	CKMT1A
colon-specific	CKMT1B
colon-specific	CLDN7
colon-specific	COX5A
colon-specific	CYFIP1
colon-specific	FAR2
colon-specific	GPR125
colon-specific	HSPB1
colon-specific	IARS2
colon-specific	JUP
colon-specific	KRCC1
colon-specific	KRT18
colon-specific	LRRC31
colon-specific	MRPS35
colon-specific	PADI2
colon-specific	PLA2G10
colon-specific	PRSS23
colon-specific	RAB9A
colon-specific	SPATS2L
colon-specific	STAP2
colon-specific	STEAP1
colon-specific	STK39
colon-specific	TSC22D1
colon-specific	UQCRFS1
ileum-specific	CFB
colon-specific	PLCB4
ileum-specific	ATRN
ileum-specific	GALC
ileum-specific	ENTPD7
ileum-specific	RARRES3
ileum-specific	SLC10A2
colon-specific	CKB
colon-specific	DIAPH2
colon-specific	FKBP1A
colon-specific	TLE1
colon-specific	TMEM97
colon-specific	FKBP1C
colon-specific	GMFB
colon-specific	TUBA1B
ileum-specific	CCNI
ileum-specific	HLA-DRB4
colon-specific	CES3
colon-specific	SYNE2
colon-specific	TSPAN7
ileum-specific	SULT1A2
ileum-specific	RTN4
ileum-specific	PRDX1
colon-specific	TUBA1C
colon-specific	KLF6
colon-specific	ACAA2
colon-specific	ATP5G3
colon-specific	BMP2
colon-specific	C21orf33
colon-specific	EPAS1
colon-specific	HSPA1B
colon-specific	LGALS4
colon-specific	MPZL2
colon-specific	MYL6
colon-specific	RAB11A
colon-specific	SEMA3C
colon-specific	TMEM87A
ileum-specific	BTN3A3
ileum-specific	GK
ileum-specific	PBXIP1
ileum-specific	RGS5
ileum-specific	SIRPA
ileum-specific	SULT1A4
ileum-specific	SLC28A2
ileum-specific	TGM2
colon-specific	CTSA
colon-specific	DHX32
colon-specific	ID3
colon-specific	PCCA
colon-specific	PLP2
colon-specific	S100A10
colon-specific	TSPO
ileum-specific	FGL2
ileum-specific	GPR89A
colon-specific	SGK2
ileum-specific	ALDOC
ileum-specific	C5orf15
ileum-specific	CDR2L
ileum-specific	CHST5
ileum-specific	CTSE
ileum-specific	GALT
ileum-specific	GCHFR
ileum-specific	MDK
ileum-specific	MOCOS
ileum-specific	MPP1
ileum-specific	PCSK1
ileum-specific	RAB17
ileum-specific	RAMP1
ileum-specific	SLC16A4
ileum-specific	SLC2A2
ileum-specific	TULP4
ileum-specific	CASP4
ileum-specific	CYB5A
ileum-specific	GPR89B
ileum-specific	GPR89C
ileum-specific	TRAPPC4
colon-specific	ACTG1
colon-specific	CAPN2
colon-specific	DUSP6
colon-specific	PLAUR
colon-specific	PTMA
colon-specific	SLC4A4
colon-specific	THBS1
colon-specific	TMPRSS2
ileum-specific	PLEKHS1
ileum-specific	DNPH1
ileum-specific	STX7
colon-specific	ABHD3
colon-specific	AGPAT5
colon-specific	C20orf24
colon-specific	CASD1
colon-specific	CCL8
colon-specific	CLDN4
colon-specific	CS
colon-specific	DCTPP1
colon-specific	DPP3
colon-specific	GALNT12
colon-specific	GBAS
colon-specific	GDE1
colon-specific	GDPD3
colon-specific	GIPC1
colon-specific	HSPA2
colon-specific	NDUFA1
colon-specific	NGFRAP1
colon-specific	NUPR1
colon-specific	NVL
colon-specific	PDCD6IP
colon-specific	PGM1
colon-specific	PRPS2
colon-specific	SLCO2A1
colon-specific	TXN
colon-specific	UQCRC1
colon-specific	VPS37B
colon-specific	NT5C2
ileum-specific	CYP4F2
ileum-specific	NUCB1
colon-specific	ATP6V1D
colon-specific	FAM162A
colon-specific	CANT1
ileum-specific	CES2
ileum-specific	AKR1A1
colon-specific	ST14
colon-specific	ACSM3
colon-specific	POSTN
ileum-specific	NR0B2
ileum-specific	GNB1
ileum-specific	GNS
ileum-specific	SLX1A-SULT1A3
ileum-specific	TPP1
ileum-specific	PAOX
colon-specific	CPT2
colon-specific	ELOVL6
colon-specific	MID1
colon-specific	SREBF2
colon-specific	CLN3
colon-specific	MECOM
ileum-specific	APOC2
ileum-specific	HLA-DQB2
ileum-specific	TSC22D3
ileum-specific	CYP2C19
colon-specific	FBXO34
ileum-specific	ATOX1
ileum-specific	DAK
ileum-specific	RHOBTB2
ileum-specific	SLC22A4
colon-specific	ATP2C2
colon-specific	MYB
ileum-specific	C11orf24
ileum-specific	SLC7A8
ileum-specific	APOC4
ileum-specific	CPQ
ileum-specific	HPS5
colon-specific	C1QBP
colon-specific	APP
colon-specific	COX5B
colon-specific	CTDSPL
colon-specific	DENND2A
colon-specific	MAPKAPK5-AS1
colon-specific	TCF7L2
ileum-specific	BTD
colon-specific	DEFB1
colon-specific	DYNLL1
