type	gene_id
Goblet	RPL38
Goblet	CD63
Goblet	CEACAM5
Goblet	SYTL2
Goblet	HPCAL1
Goblet	FOS
Goblet	SCNN1A
Goblet	GLUL
Goblet	SYNGR2
Goblet	NR4A1
Goblet	MB
Goblet	MGLL
Goblet	QSOX1
Goblet	SPINK1
Goblet	RAP1GAP
Goblet	EGR1
Goblet	CMIP
Goblet	NEURL1
Goblet	YWHAZ
Goblet	RPL36
Goblet	KDELR2
Goblet	PTMA
Goblet	DYNLL1
Goblet	RRBP1
Goblet	CRACR2A
Goblet	FOXP1
Goblet	FAM107B
Goblet	TM9SF3
Paneth	SPIB
Paneth	CA7
Paneth	HSPB1
Paneth	TMSB10
Paneth	BEST4
Paneth	GMNN
Paneth	CA4
Paneth	MDK
Paneth	CD24
Paneth	SEPW1
Paneth	NBPF19
Paneth	CYBA
Paneth	HEPACAM2
Paneth	HES4
Paneth	NEURL1
Paneth	IFITM2
Paneth	EXD3
Paneth	PROX1
Paneth	FKBP1A
Paneth	NBPF14
Paneth	OTOP2
Paneth	MT1G
Paneth	CARD16
Paneth	LYZ
Paneth	S100A6
Paneth	ITM2C
Paneth	KRT20
Paneth	STARD10
Paneth	H3F3A
Paneth	DMBT1
Paneth	PDLIM4
Paneth	DNASE2
Paneth	LYPD8
Paneth	SULT1E1
Paneth	MT1E
Paneth	FAU
Paneth	S100A10
Paneth	H3F3B
Paneth	GUCA2A
Paneth	MT1H
Paneth	GSN
Paneth	RHOV
Paneth	ATP6V0B
Paneth	CD63
Paneth	IFITM3
Paneth	MT1M
Paneth	CD9
Paneth	MT2A
Paneth	EMP2
Paneth	NOTCH2
Paneth	HES1
Paneth	ARPC3
Paneth	PCSK1N
Paneth	GSTP1
Paneth	MYL6
Paneth	GUCA2B
Paneth	RPL37A
Paneth	RPS8
Paneth	RPL27A
Paneth	GRN
Paneth	HRCT1
Paneth	CEACAM5
Paneth	QSOX1
Paneth	RPL39
Paneth	MT1X
Paneth	CFTR
Paneth	SRI
Paneth	RNASET2
Paneth	PYCARD
Paneth	ADGRG4
Paneth	KRT8
Paneth	CTSS
Paneth	NAE1
Paneth	LAMTOR4
Paneth	PFDN5
Paneth	PLP2
Paneth	BID
Paneth	C4orf48
Paneth	ADD3
Paneth	ID1
Enteriendocrine	PCSK1N
Enteriendocrine	NEUROD1
Enteriendocrine	CHGA
Enteriendocrine	SCT
Enteriendocrine	SCGN
Enteriendocrine	FEV
Enteriendocrine	SCG5
Enteriendocrine	CRYBA2
Enteriendocrine	H3F3B
Enteriendocrine	MARCKSL1
Enteriendocrine	CHGB
Enteriendocrine	SELK
Enteriendocrine	CPE
Enteriendocrine	TM4SF4
Enteriendocrine	NPDC1
Enteriendocrine	C9orf16
Enteriendocrine	STARD10
Enteriendocrine	REG4
Enteriendocrine	BEX1
Enteriendocrine	MIF
Enteriendocrine	SEPW1
Enteriendocrine	SMIM6
Enteriendocrine	KCTD12
Enteriendocrine	EGR1
Enteriendocrine	ID2
Enteriendocrine	TTR
Enteriendocrine	C12orf75
Enteriendocrine	NGFRAP1
Enteriendocrine	INSM1
Enteriendocrine	PEMT
Enteriendocrine	ATF3
Enteriendocrine	QDPR
Enteriendocrine	GUCY2C
Enteriendocrine	HMGN3
Enteriendocrine	NPW
Enteriendocrine	IER2
Enteriendocrine	VWA5B2
Enteriendocrine	S100A11
Enteriendocrine	TUBA1A
Enteriendocrine	GLUL
Enteriendocrine	UCN3
Enteriendocrine	JUNB
Enteriendocrine	DNAJC12
Enteriendocrine	CADPS
Enteriendocrine	BEX2
Enteriendocrine	PCSK1
Enteriendocrine	SYT13
Enteriendocrine	UCP2
Enteriendocrine	FABP5
Enteriendocrine	AES
Enteriendocrine	SCG2
Enteriendocrine	TPH1
Enteriendocrine	EID1
Enteriendocrine	HOPX
Enteriendocrine	HEPACAM2
Enteriendocrine	PTMS
Enteriendocrine	SEC11C
Enteriendocrine	NKX2-2
Enteriendocrine	CACNA1A
Enteriendocrine	SCG3
Enteriendocrine	PAX6
Enteriendocrine	LUC7L3
Enteriendocrine	SLC29A4
Enteriendocrine	RGS2
Enteriendocrine	BTG2
Enteriendocrine	AGR2
Enteriendocrine	RAP1GAP2
Enteriendocrine	ASPH
Enteriendocrine	FOSB
Enteriendocrine	SPINK1
Enteriendocrine	RAB3C
Enteriendocrine	GCH1
Enteriendocrine	LXN
Enteriendocrine	RPS3
Enteriendocrine	SLC38A11
Enteriendocrine	CD59
Enteriendocrine	ZNF706
Enteriendocrine	ZNF428
Enteriendocrine	TIMP1
Enteriendocrine	ENPP2
Enteriendocrine	H1FX
Enteriendocrine	DPYSL2
Enteriendocrine	PKM
Enteriendocrine	BAALC
Enteriendocrine	CD24
Enteriendocrine	CAMK2N1
Enteriendocrine	NAA38
Enteriendocrine	NOVA1
Enteriendocrine	MYL6B
Enteriendocrine	PLA2G12A
Enteriendocrine	BNIP3
Enteriendocrine	C10orf10
Enteriendocrine	C11orf31
Enteriendocrine	FAM105A
Enteriendocrine	HMGN2
Enteriendocrine	DNAJA1
Enteriendocrine	FOS
Enteriendocrine	GABARAP
Enteriendocrine	VAMP2
Enteriendocrine	HIPK2
Enteriendocrine	SSR4
Enteriendocrine	SNAP25
Enteriendocrine	RFX6
Enteriendocrine	CES1
Enteriendocrine	PROM1
Enteriendocrine	NDUFB11
Enteriendocrine	BEX4
Enteriendocrine	C12orf57
Enteriendocrine	TPD52
Enteriendocrine	SSFA2
Enteriendocrine	ARPC5
Enteriendocrine	DYNLL1
Progenitor	RPS29
Progenitor	RPL18A
Progenitor	RPLP0
Progenitor	RPLP1
Progenitor	RPL22
Progenitor	RPL10A
Progenitor	RPS8
Progenitor	RPSA
Progenitor	RPL32
Progenitor	RPL37A
Progenitor	RPS18
Progenitor	RPS2
Progenitor	RPS6
Progenitor	RPLP2
Progenitor	RPS24
Progenitor	RPS21
Progenitor	RPS17
Progenitor	RPS28
Progenitor	RPL15
Progenitor	RPS19
Progenitor	RPL13A
Progenitor	RPL36A
Progenitor	RPL35
Progenitor	RPL37
Progenitor	RPL6
Progenitor	RPS16
Progenitor	RPS3
Progenitor	RPS15A
Progenitor	RPL13
Progenitor	OLFM4
Progenitor	RPS3A
Progenitor	RPS13
Progenitor	RPL31
Progenitor	RPL27A
Progenitor	RPS23
Progenitor	REG1A
Progenitor	RPL5
Progenitor	RPS12
Progenitor	RPL8
Progenitor	ADH1C
Progenitor	RPL34
Progenitor	RPL4
Progenitor	RPS11
Progenitor	RPL26
Progenitor	RPS27A
Progenitor	RPL7
Progenitor	RPL19
Progenitor	HNRNPA1
Progenitor	RPL39
Progenitor	RPL7A
Progenitor	RPS9
Progenitor	RPL28
Progenitor	RPS10
Progenitor	RPL27
Progenitor	RPL35A
Progenitor	RPL21
Progenitor	RPL36
Progenitor	EEF1A1
Progenitor	RPS7
Progenitor	RPL18
Progenitor	RPL30
Progenitor	RPS20
Progenitor	RPL23A
Progenitor	RPL41
Progenitor	RPS27
Progenitor	RPL23
Progenitor	RPL12
Progenitor	RPS5
Progenitor	RPS14
Progenitor	RPL3
Progenitor	RPL10
Progenitor	RPL11
Progenitor	RPL9
Progenitor	RPS4X
Progenitor	PIGR
Progenitor	DMBT1
Progenitor	GPX2
Progenitor	GNB2L1
Progenitor	RPL17
Progenitor	RPL38
Progenitor	RPS15
Progenitor	PPP1R1B
Progenitor	PTMA
Progenitor	RPL24
Progenitor	RPS25
Progenitor	RPL14
Progenitor	PPIA
Progenitor	PABPC1
Progenitor	UQCRH
Progenitor	AGR2
Progenitor	RPL29
Progenitor	C1QBP
Progenitor	NACA
Progenitor	MGST1
Progenitor	ACTG1
Progenitor	SLC12A2
Progenitor	SLC25A6
Progenitor	NPM1
Progenitor	IDH2
Progenitor	FBL
Progenitor	SNHG25
Progenitor	TMSB10
Progenitor	SNRPF
Progenitor	IMPDH2
Progenitor	YBX1
Progenitor	SPINK1
Progenitor	SNRPE
Progenitor	RBM3
Progenitor	SNHG19
Progenitor	ATP5G1
Progenitor	NBEAL1
Progenitor	HMGA1
Progenitor	UBA52
Progenitor	IFITM3
Progenitor	EIF3L
Progenitor	EIF3E
Progenitor	HSPD1
Progenitor	MLEC
Progenitor	CCND2
Progenitor	GSTP1
Progenitor	ZFAS1
Progenitor	MARCKS
Progenitor	HNRNPC
Progenitor	ATP5G2
Progenitor	TXN
Progenitor	TKT
Progenitor	COTL1
Progenitor	SNRPD2
Progenitor	AC090498.1
Progenitor	RAMP1
Progenitor	CYBA
Progenitor	RNASE1
Progenitor	CD9
Progenitor	MRPL12
Progenitor	DUT
Progenitor	COMMD6
Progenitor	SET
Progenitor	BTF3
Progenitor	H3F3A
Progenitor	LSM5
Progenitor	EBPL
Progenitor	LSM7
Progenitor	KRT18
Progenitor	NUCKS1
Progenitor	EMP2
Progenitor	CDCA7
Progenitor	ATP5F1
Progenitor	RAN
Progenitor	SNRPD1
Progenitor	SERBP1
Progenitor	PLP2
Progenitor	PKP2
Progenitor	MLXIP
Progenitor	C2orf82
Progenitor	KLF5
Progenitor	TFRC
Progenitor	EEF1B2
Progenitor	HMGB1
Progenitor	ADD3
Progenitor	CASP1
Progenitor	MARCKSL1
Progenitor	NCL
Progenitor	APEX1
Progenitor	NHP2
Progenitor	HMGN2
Progenitor	CCL25
Progenitor	HNRNPK
Progenitor	C6orf48
Progenitor	HSP90AB1
Progenitor	COA3
Progenitor	HMGN1
Progenitor	TRABD2A
Progenitor	EIF3F
Progenitor	KIAA1324
Progenitor	CERS6
Progenitor	RANBP1
Progenitor	MZT2B
Progenitor	EEF1G
Progenitor	YBX3
Progenitor	NAP1L1
Progenitor	RSL1D1
Progenitor	EIF3H
Progenitor	ANP32B
Progenitor	HNRNPM
Progenitor	MRPL11
Progenitor	KTN1
Progenitor	CD44
TA	HMGB2
TA	STMN1
TA	PTMA
TA	H2AFZ
TA	HMGB1
TA	KIAA0101
TA	HMGN2
TA	TUBA1B
TA	TUBB
TA	PPIA
TA	IDH2
TA	RPSA
TA	TK1
TA	OLFM4
TA	NUCKS1
TA	DUT
TA	RPLP1
TA	RAN
TA	RANBP1
TA	RPS21
TA	RPLP0
TA	TYMS
TA	NAP1L1
TA	RPS3
TA	RPS2
TA	RPS6
TA	RPS17
TA	RPL35
TA	SNRPB
TA	REG1A
TA	RPS18
TA	RPL4
TA	RPS8
TA	RPL36A
TA	GPX2
TA	HNRNPA1
TA	DEK
TA	CENPW
TA	RPL37A
TA	RPL22
TA	HMGA1
TA	RPLP2
TA	ZWINT
TA	RPS12
TA	RPL15
TA	MLEC
TA	H2AFV
TA	GSTP1
TA	RPS16
TA	RPL32
TA	SLC12A2
TA	RPL18A
TA	MGST1
TA	SMC4
TA	RPS23
TA	HSPD1
TA	CENPM
TA	RPS19
TA	CKS2
TA	RPS3A
TA	SNRPD1
TA	RPS10
TA	DTYMK
TA	LSM5
TA	RRM2
TA	RPL10A
