type	gene_id
colon-like	ELAVL2
colon-like	NPTX1
colon-like	DOCK4-AS1
colon-like	HOXA-AS3
colon-like	PRKAA2
colon-like	OR8D4
colon-like	CASD1
colon-like	RP5-890O15.3
colon-like	RP11-185J20.1
colon-like	ADH1C
colon-like	GLRA2
colon-like	DCDC2
colon-like	PRKACB
colon-like	AC093642.1
colon-like	RP11-22C11.1
colon-like	ASAP3
colon-like	RP11-12G12.7
colon-like	OR6T1
colon-like	ACSM3
colon-like	GLB1L2
colon-like	KANK4
colon-like	RP3-395M20.9
colon-like	RP11-573N10.1
colon-like	SFN
colon-like	HK2P1
colon-like	RP4-568C11.4
colon-like	SERTAD4
colon-like	KNG1
colon-like	IER3
colon-like	NWD2
colon-like	LPAR3
colon-like	C14orf180
colon-like	GXYLT2
colon-like	MUC1
colon-like	CYP4F35P
colon-like	PRDX6
colon-like	PYGB
colon-like	RP11-545A16.1
colon-like	UNC5B-AS1
colon-like	PYGL
colon-like	IQCD
colon-like	RP11-172C16.5
colon-like	EGF
colon-like	ALDH1L1-AS2
colon-like	RP11-48B3.3
colon-like	RP11-84C10.1
colon-like	FOXJ1
colon-like	WFDC2
colon-like	EPHA7
colon-like	BEST4
colon-like	AC091492.2
colon-like	SHROOM2
colon-like	CPA6
colon-like	RP11-509E10.1
colon-like	VLDLR
colon-like	CKS1BP3
colon-like	RP11-44F21.2
colon-like	PCDH11X
colon-like	RP11-800A18.4
colon-like	CTC-436P18.3
colon-like	AGPAT4-IT1
colon-like	ETHE1
colon-like	WFDC3
colon-like	HOXB6
colon-like	PLA2G10
colon-like	S100P
colon-like	NXPE2
colon-like	RP11-22H5.2
colon-like	MFSD4A
colon-like	RP11-576I22.2
colon-like	AC005532.5
colon-like	TEKT5
colon-like	NOL4
colon-like	CNN1
colon-like	LINC00244
colon-like	RP11-219O3.2
colon-like	AC016644.1
colon-like	C2orf70
colon-like	LDHB
colon-like	GGH
colon-like	NT5DC3
colon-like	ADGRF4
colon-like	LLNLR-271C9.1
colon-like	RP11-1J11.1
colon-like	CTD-2008P7.9
colon-like	FAM43A
colon-like	RP11-49K24.9
colon-like	GOLM1
colon-like	ACTL8
colon-like	PAPPA2
colon-like	PCDH20
colon-like	PLCB4
colon-like	LDHAL6EP
colon-like	ACOXL
colon-like	RP11-203J24.9
colon-like	MAB21L3
colon-like	LINC01570
colon-like	RP11-48B3.4
colon-like	ZNF185
colon-like	CLEC5A
colon-like	C6orf141
colon-like	IGKV2D-24
colon-like	TFAP2C
colon-like	HSD3B2
colon-like	RP11-3K16.2
colon-like	AC004870.4
colon-like	BSG
colon-like	ABCA12
colon-like	RP11-376N17.4
colon-like	DEFB1
colon-like	ACTG1P22
colon-like	PLCE1-AS1
colon-like	ADAM32
colon-like	ARTN
colon-like	CLDN8
colon-like	FAM221B
colon-like	LINC00871
colon-like	FIBCD1
colon-like	DPF3
colon-like	GJA9
colon-like	C5orf52
colon-like	ENTPD3
colon-like	LINC00964
colon-like	RP5-1155K23.4
colon-like	CD177P1
colon-like	UGT2B10
colon-like	RP11-681B3.4
colon-like	CCDC169
colon-like	DNAH5
colon-like	HAS3
colon-like	RP11-677M14.3
colon-like	RP11-532E4.2
colon-like	LRRIQ4
colon-like	FAM162A
colon-like	PP14571
colon-like	JPH1
colon-like	KIAA0319
colon-like	RP1-80N2.2
colon-like	GP9
colon-like	HOXA10
colon-like	HOXB-AS3
colon-like	PKIB
colon-like	LINC01389
colon-like	GIPC1
colon-like	AC005077.14
colon-like	RIMS4
colon-like	CTD-2310F14.1
colon-like	NUPR1
colon-like	RP11-61A14.4
colon-like	UNC5B
colon-like	KCNA1
colon-like	TMEM211
colon-like	ASPG
colon-like	GRM4
colon-like	EFNA5
colon-like	RP11-320N21.2
colon-like	ETNK1
colon-like	HYAL1
colon-like	FERMT1
colon-like	RP11-115A14.1
colon-like	MIA
colon-like	ILDR1
colon-like	HOXD9
colon-like	TTC6
colon-like	UGDH
colon-like	RP1-170O19.24
colon-like	IGLV5-37
colon-like	TEX101
colon-like	AC017101.10
colon-like	EPHA4
colon-like	FABP3
colon-like	RP11-268P4.6
colon-like	DGUOK-AS1
colon-like	MYB
colon-like	ALPPL2
colon-like	KLK4
colon-like	APOBEC3B
colon-like	LUZP2
colon-like	BAMBI
colon-like	MPZL2
colon-like	CD9
colon-like	ZNF321P
colon-like	C20orf166-AS1
colon-like	WDR78
colon-like	PCAT18
colon-like	NANS
colon-like	CASQ2
colon-like	ABT1P1
colon-like	PRRT3-AS1
colon-like	CCDC74B
colon-like	IGHV3-15
colon-like	SLC39A8
colon-like	HK1
colon-like	RP11-1090M7.1
colon-like	CCL28
colon-like	SLC2A1
colon-like	EPN3
colon-like	SLC20A1
colon-like	RP11-467L13.5
colon-like	LINC00940
colon-like	GDPD3
colon-like	ST8SIA2
colon-like	MYO3B
colon-like	WDR72
colon-like	HSPA2
colon-like	ADAMTSL1
colon-like	AGPAT4
colon-like	HES2
colon-like	MAP2K6
colon-like	UBXN10
colon-like	RP11-634B7.4
colon-like	ARHGAP44
colon-like	CASC9
colon-like	PKHD1
colon-like	SMAGP
colon-like	MUM1L1
colon-like	RP11-37J13.1
colon-like	DNAH14
colon-like	UPP1
colon-like	STEAP1
colon-like	MAGIX
colon-like	CFTR
colon-like	AC009005.2
colon-like	GAREM2
colon-like	GNE
colon-like	HNRNPA1P70
colon-like	AK8
colon-like	VSTM2A-OT1
colon-like	CTD-2306A12.1
colon-like	ZNF492
colon-like	PGM2L1
colon-like	SIPA1L2
colon-like	TINCR
colon-like	MIR3142HG
colon-like	TRABD2A
colon-like	FGFR2
colon-like	GPT2
colon-like	CEACAM3
colon-like	RP5-1185I7.1
colon-like	MECOM
colon-like	BHMT
colon-like	RPS2P45
colon-like	NOXO1
colon-like	FRMPD3
colon-like	GPR15
colon-like	PART1
colon-like	HSPB1
colon-like	CPM
colon-like	LURAP1L
colon-like	MBOAT2
colon-like	GHET1
colon-like	EPHA10
colon-like	DNER
colon-like	RP11-532M24.1
colon-like	IGLV3-16
colon-like	LMO3
colon-like	MIR4458HG
colon-like	RP11-519G16.5
colon-like	TMEM141
colon-like	GMNN
colon-like	CLDN1
colon-like	HOXB3
colon-like	ST6GALNAC6
colon-like	LINC01315
colon-like	CTD-2385L22.1
colon-like	SNX29P1
colon-like	OPN3
colon-like	DCHS2
colon-like	CH17-353B19.1
colon-like	FABP5
colon-like	RP11-120M18.2
colon-like	SH3PXD2A-AS1
colon-like	FAM3D-AS1
colon-like	PLAC8
colon-like	AC094019.4
colon-like	ADRA2A
colon-like	RP11-95G17.2
colon-like	CHMP4BP1
colon-like	RAB32
colon-like	ACAT1
colon-like	TANC2
colon-like	HOXA9
colon-like	FRYL
colon-like	FBXO32
colon-like	LRRC56
colon-like	TMEM35A
colon-like	APOC1
colon-like	BAIAP2-AS1
colon-like	TRIM7
colon-like	RP11-132A1.4
colon-like	PROM2
colon-like	LIPH
colon-like	RPS6KA6
colon-like	FAM3D
colon-like	NRSN2-AS1
colon-like	RP11-519G16.3
colon-like	RND1
colon-like	LINC01505
colon-like	FAM81A
colon-like	FKBP4P1
colon-like	PRR5L
colon-like	SERTAD4-AS1
colon-like	NPTX2
colon-like	RASAL1
colon-like	HOXB5
colon-like	AC008074.1
colon-like	MYO5C
colon-like	FGFBP1
colon-like	CCNL2P1
colon-like	MLF1
colon-like	AP000487.6
colon-like	BIK
colon-like	KIAA1324L
colon-like	CRYM-AS1
colon-like	SLC7A11-AS1
colon-like	E2F2
colon-like	CDKL2
colon-like	RP11-8P13.5
colon-like	LINC00992
colon-like	CCDC113
colon-like	RP11-730K11.1
colon-like	TLE1
colon-like	IGKV3-7
colon-like	CTD-2561J22.5
colon-like	PGBD5
colon-like	RP11-452D12.1
colon-like	PRDM5
colon-like	MOSC1
colon-like	DANT2
colon-like	PTCHD1
colon-like	ILDR2
colon-like	ACVRL1
colon-like	SNHG4
colon-like	RP11-395B7.2
colon-like	SPINK2
colon-like	ANO1
colon-like	PLAUR
colon-like	ENPP7P4
colon-like	NQO1
colon-like	SLC35E4
colon-like	RASEF
colon-like	GPR143
colon-like	FRMD1
colon-like	CNNM4
colon-like	RP11-275I14.4
colon-like	STARD10
colon-like	PCDHGB8P
colon-like	NWD1
colon-like	RP11-192M23.1
colon-like	RP11-395N21.2
colon-like	TCEA1P4
colon-like	IGFBP2
colon-like	CCNJL
colon-like	TEDDM1
colon-like	CTC-260E6.6
colon-like	HYMAI
colon-like	EHF
colon-like	MFAP3L
