type	gene_id
Goblet	FOSB
Goblet	RPL10
Goblet	MB
Goblet	RPS27
Paneth-like	SPIB
Paneth-like	CA7
Paneth-like	FKBP1A
Paneth-like	CA4
Paneth-like	BEST4
Paneth-like	HSPB1
Paneth-like	TMSB10
Paneth-like	HES4
Paneth-like	NBPF14
Paneth-like	CTSE
Paneth-like	ITM2C
Paneth-like	NBPF19
Paneth-like	HEPACAM2
Paneth-like	NEURL1
Paneth-like	CEACAM6
Paneth-like	GMNN
Paneth-like	LYPD8
Paneth-like	CEACAM5
Paneth-like	S100A10
Paneth-like	LYZ
Paneth-like	OTOP2
Paneth-like	ID1
Paneth-like	HRCT1
Paneth-like	NOTCH2
Paneth-like	H3F3B
Paneth-like	GRN
Paneth-like	CARD16
Paneth-like	IFITM2
Paneth-like	SLPI
Paneth-like	S100A11
Paneth-like	GNPTAB
Paneth-like	DMBT1
Paneth-like	HIGD1A
Paneth-like	TMEM176B
Paneth-like	GPRC5C
Paneth-like	SEPW1
Paneth-like	S100A6
Paneth-like	RHOV
Paneth-like	PROX1
Paneth-like	PHLDA2
Paneth-like	VSIG2
Paneth-like	MSLN
Paneth-like	TSPAN1
Paneth-like	HES1
Paneth-like	LGALS3
Paneth-like	PPDPF
Paneth-like	PDE4C
Paneth-like	TPD52
Paneth-like	CD63
Paneth-like	TMSB4X
Paneth-like	C10orf99
Paneth-like	FABP5
Paneth-like	CYSTM1
Paneth-like	ETHE1
Paneth-like	ARPC2
Paneth-like	ATP6V0B
Paneth-like	CLIC1
Paneth-like	MDK
Paneth-like	ARPC3
Paneth-like	RNASET2
Paneth-like	SDCBP2
Paneth-like	H3F3A
Paneth-like	CCND1
Paneth-like	QSOX1
Paneth-like	LITAF
Paneth-like	ADRA2A
Paneth-like	GSN
Paneth-like	IL18
Paneth-like	KRT8
Paneth-like	SH3KBP1
Paneth-like	MEIS1
Paneth-like	EPCAM
Paneth-like	CKB
Paneth-like	CFL1
Paneth-like	ID3
Paneth-like	TMEM59
Paneth-like	LGALS9
Paneth-like	UNC5C
Paneth-like	ASAH1
Paneth-like	BSG
Paneth-like	CEACAM7
Paneth-like	DNASE2
Paneth-like	DSTN
Paneth-like	OSTF1
Paneth-like	CALM2
Paneth-like	SERP1
Paneth-like	S100A16
Paneth-like	FAU
Paneth-like	GOLM1
Paneth-like	FXYD3
Paneth-like	NAE1
Paneth-like	PPIC
Paneth-like	ALDH2
Paneth-like	C4orf48
Paneth-like	ABCC3
Enteriendocrine	PCSK1N
Enteriendocrine	SCGN
Enteriendocrine	CPE
Enteriendocrine	CRYBA2
Enteriendocrine	FEV
Enteriendocrine	CHGA
Enteriendocrine	SCG5
Enteriendocrine	TUBA1A
Enteriendocrine	INSM1
Enteriendocrine	NEUROD1
Enteriendocrine	H3F3B
Enteriendocrine	MARCKSL1
Enteriendocrine	KCTD12
Enteriendocrine	CHGB
Enteriendocrine	UCP2
Enteriendocrine	MDK
Enteriendocrine	PTMS
Enteriendocrine	CACNA1A
Enteriendocrine	SELK
Enteriendocrine	BTG2
Enteriendocrine	TTR
Enteriendocrine	PAM
Enteriendocrine	MS4A8
Enteriendocrine	EGR1
Enteriendocrine	C12orf75
Enteriendocrine	NPDC1
Enteriendocrine	C9orf16
Enteriendocrine	NGFRAP1
Enteriendocrine	SCG2
Enteriendocrine	CADPS
Enteriendocrine	NKX2-2
Enteriendocrine	JUNB
Enteriendocrine	RAB3B
Enteriendocrine	VAMP2
Enteriendocrine	QPCT
Enteriendocrine	HMGN3
Enteriendocrine	SEC11C
Enteriendocrine	ATF3
Enteriendocrine	TIMP1
Enteriendocrine	PCSK1
Enteriendocrine	UCN3
Enteriendocrine	EID1
Enteriendocrine	SMIM6
Enteriendocrine	FOS
Enteriendocrine	GUCY2C
Enteriendocrine	RAB26
Enteriendocrine	SSR4
Enteriendocrine	SYT13
Enteriendocrine	GABARAP
Enteriendocrine	H1FX
Enteriendocrine	HMGN2
Enteriendocrine	FOSB
Enteriendocrine	IER2
Enteriendocrine	SCG3
Enteriendocrine	MIR7-3HG
Enteriendocrine	PYY
Enteriendocrine	MIF
Enteriendocrine	SCT
Enteriendocrine	VWA5B2
Enteriendocrine	GCH1
Enteriendocrine	SNRPN
Enteriendocrine	SLC29A4
Enteriendocrine	ETV1
Enteriendocrine	LUC7L3
Enteriendocrine	AES
Enteriendocrine	GCLC
Enteriendocrine	DDX5
Enteriendocrine	SEPW1
Enteriendocrine	ARFGEF3
Enteriendocrine	ZNF428
Enteriendocrine	BEX2
Enteriendocrine	NISCH
Enteriendocrine	PTPRN2
Enteriendocrine	MYL6B
Enteriendocrine	GNG2
Enteriendocrine	C6orf48
Enteriendocrine	CEP126
Enteriendocrine	GCG
Enteriendocrine	TFF1
Enteriendocrine	NAP1L1
Enteriendocrine	KIAA1324
Enteriendocrine	DNAJC12
Enteriendocrine	JUND
Enteriendocrine	RIMBP2
Enteriendocrine	CBX6
Progenitor	ADH1C
Progenitor	TXN
Progenitor	ATP5G1
Progenitor	RPL6
Progenitor	RPLP0
Progenitor	UQCRH
Progenitor	PIGR
Progenitor	GPX2
Progenitor	PPP1R1B
Progenitor	RPL5
Progenitor	RPL15
Progenitor	MGST1
Progenitor	RPSA
Progenitor	CD24
Progenitor	RPS17
Progenitor	RPS16
Progenitor	RPL10A
Progenitor	RPS7
Progenitor	RPL4
Progenitor	RPL8
Progenitor	RPS6
Progenitor	CYBA
Progenitor	C1QBP
Progenitor	RPS2
Progenitor	RPL18A
Progenitor	RPL27
Progenitor	RPL7
Progenitor	YBX1
Progenitor	RPS18
Progenitor	RPS27A
Progenitor	RPL13A
Progenitor	PPIA
Progenitor	RPL23
Progenitor	ATP5G3
Progenitor	RPS8
Progenitor	RPL3
Progenitor	RPL22
Progenitor	RPLP1
Progenitor	RPS10
Progenitor	RPS19
Progenitor	RPS3
Progenitor	RPS5
Progenitor	RPS21
Progenitor	TSPO
Progenitor	RPL21
Progenitor	RPS28
Progenitor	RPL19
Progenitor	MLEC
Progenitor	RPL7A
Progenitor	RPS13
Progenitor	NACA
Progenitor	SLC25A6
Progenitor	RPS9
Progenitor	EEF1A1
Progenitor	FABP5
Progenitor	RPS4X
Progenitor	RPS3A
Progenitor	LCN2
Progenitor	RPL26
Progenitor	ATP5F1
Progenitor	RPS24
Progenitor	RPLP2
Progenitor	GNB2L1
Progenitor	RPS14
Progenitor	RPL35
Progenitor	RPL18
Progenitor	RPL9
Progenitor	RPL28
Progenitor	COX5A
Progenitor	PABPC1
Progenitor	EBPL
Progenitor	MRPL12
Progenitor	RPL30
Progenitor	RPL23A
Progenitor	RPL13
Progenitor	RPS29
Progenitor	RPL11
Progenitor	RPL17
Progenitor	RPS15A
Progenitor	RPL24
Progenitor	RPL39
Progenitor	CYC1
Progenitor	PLA2G2A
Progenitor	FAM162A
Progenitor	RPS23
Progenitor	HINT1
Progenitor	ATP5L
Progenitor	COX7C
Progenitor	ATP5G2
Progenitor	RPL41
Progenitor	RPL32
Progenitor	COMMD6
Progenitor	RPL37A
Progenitor	USMG5
Progenitor	EIF3L
Progenitor	RPL10
Progenitor	LEFTY1
Progenitor	HNRNPA1
Progenitor	RPL31
Progenitor	CFTR
Progenitor	C15orf48
Progenitor	TUFM
Progenitor	ATP5A1
Progenitor	RPL34
Progenitor	RPL35A
Progenitor	UQCRFS1
Progenitor	RPL27A
Progenitor	CD9
Progenitor	RPS20
Progenitor	HMGCS2
Progenitor	SELENBP1
Progenitor	RPL36A
Progenitor	GOLM1
Progenitor	HSPE1
Progenitor	PHB
Progenitor	RBM3
Progenitor	RPS12
Progenitor	APRT
Progenitor	TRABD2A
Progenitor	RPL14
Progenitor	EIF3E
Progenitor	RPL29
Progenitor	IMPDH2
Progenitor	RPL37
Progenitor	MINOS1
TA	HMGB2
TA	H2AFZ
TA	STMN1
TA	TUBA1B
TA	HMGB1
TA	TUBB
TA	HMGN2
TA	PTMA
TA	KIAA0101
TA	TK1
TA	CENPW
TA	TYMS
TA	RANBP1
TA	IDH2
TA	RAN
TA	DTYMK
TA	NUCKS1
TA	DUT
TA	CKS1B
TA	ZWINT
TA	DEK
TA	RRM2
TA	SMC4
TA	MAD2L1
TA	BIRC5
TA	CENPM
TA	MKI67
TA	UBE2C
TA	TOP2A
TA	SNRPB
TA	PPIA
TA	NAP1L1
TA	CKS2
TA	LSM5
TA	ANP32B
TA	H2AFV
TA	HSPD1
TA	SMC2
TA	HMGN1
TA	SNRPD1
TA	CCDC34
TA	UBE2T
TA	RPSA
TA	PLP2
TA	HMGA1
TA	HNRNPA1
TA	GSTP1
TA	LMNB1
TA	CDKN3
TA	NUDT1
TA	HIST1H4C
TA	PTTG1
TA	HSP90AA1
TA	NUSAP1
TA	CDK1
TA	RPS3
TA	RPLP1
TA	RPA3
TA	OLFM4
TA	DHFR
TA	SIVA1
TA	PBK
TA	RPL35
TA	STRA13
TA	RPLP0
TA	PA2G4
TA	MZT2A
TA	SNRPF
TA	RPS2
TA	MCM7
TA	ASF1B
TA	PRC1
TA	GGH
TA	LSM4
TA	NPM1
TA	HNRNPA3
TA	IMPDH2
TA	RPS3A
TA	NASP
TA	RRM1
TA	RPS5
TA	CCNA2
TA	RNASEH2A
TA	SNRPG
TA	CENPF
TA	FBL
TA	CKLF
TA	CDT1
TA	RAD51AP1
TA	RPS17
TA	MLEC
TA	LSM3
TA	RPS6
TA	RPL7A
TA	PCNA
TA	RPS21
TA	CDK4
TA	RPS10
TA	TMPO
TA	RPL4
TA	BANF1
TA	RPS19
TA	GGCT
TA	RPS18
TA	H2AFX
TA	KIF20B
TA	CDC20
TA	RPS23
TA	LSM2
TA	EEF1B2
TA	TPX2
TA	RAD21
TA	YBX1
TA	CENPK
TA	CDCA7
TA	HMGB3
TA	POLD2
TA	CENPN
TA	UBE2S
TA	RPL3
TA	AURKB
TA	RPL7
TA	NCL
TA	MZT2B
TA	MGST1
TA	SET
TA	PAFAH1B3
TA	ITGB3BP
TA	SRSF3
TA	MIF
TA	RPS4X
TA	SYCE1L
TA	RPS8
TA	RPL36A
TA	CBX3
TA	H3F3A
TA	RPL8
TA	C1QBP
TA	DNAJC9
TA	SKA2
TA	HNRNPA2B1
TA	BUB3
TA	SGOL1
TA	FABP5
TA	COTL1
TA	SERBP1
TA	AHCY
TA	ILF2
TA	KPNB1
TA	C19orf48
TA	ANP32E
TA	NAA38
TA	MIS18A
TA	LBR
TA	PSIP1
TA	RPL15
TA	GINS2
TA	TOMM40
TA	GMNN
TA	CCNB2
TA	SNRPE
TA	BCL7C
TA	FEN1
TA	RPL23A
TA	RPL14
TA	CBX5
TA	RPS7
TA	RPS20
TA	DNMT1
TA	RPL18A
TA	RPL13
TA	CACYBP
TA	RBBP7
TA	USP1
TA	TMEM97
TA	TUBB4B
TA	RPL10A
TA	MRPL51
TA	PAICS
TA	CNN3
TA	CCT2
TA	CCNB1
TA	KPNA2
TA	RPL39
TA	PTGES3
TA	NHP2
TA	RPS9
TA	ERH
TA	HNRNPA0
TA	RPL21
TA	MRPL11
TA	UQCC2
TA	HPRT1
TA	HACD3
TA	ARL6IP1
TA	CENPU
