type,gene
Ent,Abcg8
Ent,Ugt2b36
Ent,Pex11a
Ent,Osgin1
Ent,Gsta4
Ent,Slc28a1
Ent,Gm11437
Ent,Nat8
Ent,Nr1i3
Ent,Slc51a
Ent,Fabp1
Ent,Abcc2
Ent,Apob
Ent,Mical2
Ent,Mgat4c
Ent,H2-Bl
Ent,Hdhd3
Ent,Sec23a
Ent,Slc7a9
Ent,Tmem86a
Ent,Npc1l1
Ent,Btnl2
Ent,Acot9
Ent,Paqr7
Ent,Cblc
Ent,Tmem253
Ent,Smlr1
Ent,Abhd6
Ent,Amn
Ent,Pbld2
Ent,Mttp
Ent,Ap2a2
Ent,Ptk6
Ent,Vwce
Ent,Cideb
Ent,Sco2
Ent,Gramd3
Ent,Apol10a
Ent,Dpyd
Ent,Abat
Ent,Slc46a1
Ent,Adtrp
Ent,Xdh
Ent,Tgfbi
Ent,Chp2
Ent,Gyk
Ent,Khk
Ent,Lct
Ent,Atp6v0a2
Ent,Rhbg
Ent,Tmem82
Ent,Galm
Ent,AA986860
Ent,Shpk
Ent,Slc15a1
Ent,Cyp4f40
Ent,Sult1b1
Ent,Slc13a1
Ent,Cml1
Ent,Pm20d1
Ent,Fahd1
Ent,Trim31
Ent,H2-T3
Ent,0610005C13Rik
Ent,Optn
Ent,Clec2e
Ent,Myo7a
Ent,Slc37a4
Ent,Ppargc1a
Ent,Stom
Ent,Reep6
Ent,Cmbl
Ent,Cdkn2b
Ent,Pgm2
Ent,Maf
Ent,Mia2
Ent,Slc11a2
Ent,Spsb1
Ent,Tmem236
Ent,Cd36
Ent,Treh
Ent,Gstk1
Ent,Lipe
Ent,Tmem139
Ent,Cyp2c66
Ent,Gsdmd
Ent,Ocm
Ent,Srxn1
Ent,Lmbr1l
Ent,Lpgat1
Ent,Fez2
Ent,Slc52a2
Ent,Mocos
Ent,Nek3
Ent,Tm6sf2
Ent,Agpat2
Ent,Slc23a2
Ent,Xkr9
Ent,Tob1
Ent,Clcn2
Ent,Hectd3
Ent,Tbc1d22a
Ent,Naip1
Ent,Ctss
Ent,Slc9a2
Ent,Cdc42ep2
Ent,9030617O03Rik
Ent,Mall
Ent,Pla2g12b
Ent,Rhod
Ent,Kbtbd11
Ent,Acox1
Ent,Arhgap26
Ent,Trim30d
Ent,Tcn2
Ent,Mylk
Ent,Thnsl2
Ent,Fam213b
Ent,Dhrs1
Ent,Adh4
Ent,Dgkq
Ent,Ces2e
Ent,Aldh1a7
Ent,Myo5b
Ent,Dnm1
Ent,Frk
Ent,Tsc22d3
Ent,Slc35f5
Ent,2200002D01Rik
Ent,Cyp2c65
Ent,S100g
Ent,Ugdh
Ent,Cyp2c68
Ent,Hagh
Ent,Xpnpep1
Ent,Cobl
Ent,Epb4.1l3
Ent,Mep1a
Ent,Hnf4g
Ent,Parp9
Ent,Cyp2j6
Ent,Sgpl1
Ent,Pccb
Ent,Abcg2
Ent,Slc2a2
Ent,Ephx2
Ent,Kcnk5
Ent,Lrp1
Ent,Tmem135
Ent,Dak
Ent,Dusp12
Ent,Gpr128
Ent,Abcb1a
Ent,Tmem252
Ent,Slc7a8
Ent,4931406C07Rik
Ent,Tm4sf5
Ent,Akr1b7
Ent,Tmem230
Ent,Acbd4
Ent,Crat
Ent,Pcsk5
Ent,Galt
Ent,Gm10768
Ent,Cyp3a25
Ent,Gstp2
Ent,Ilvbl
Ent,Urgcp
Ent,Chchd7
Ent,Car4
Ent,Slc13a2
Ent,Epha1
Ent,Dab1
Ent,Gstm6
Ent,Sept9
Ent,Adipor2
Ent,Cast
Ent,Abp1
Ent,Casp6
Ent,Itga3
Ent,Rilp
Ent,Tmem41a
Ent,Nkiras2
Ent,March6
Ent,Gm9926
Ent,Plin3
Ent,Rab11fip3
Ent,Retsat
Ent,Arg2
Ent,Slc39a5
Ent,Pepd
Ent,Idh1
Ent,Ccdc134
Ent,Mgam
Ent,Ugt2b34
Ent,Ceacam20
Ent,Slc2a9
Ent,Frmd8
Ent,Smpdl3a
Ent,Apol10b
Ent,Slc5a9
Ent,Gna11
Ent,Pls1
Ent,Rab17
Ent,Lgals3
Ent,Slc25a37
Ent,Ppap2a
Ent,Gpr155
Ent,Cml5
Ent,Spns2
Ent,Acot11
Ent,Vmp1
Ent,Mertk
Ent,2510049J12Rik
Ent,Zzef1
Ent,Bche
Ent,Abcd3
Ent,Aqp11
Ent,Gcnt2
Ent,Acsl5
Ent,Gng12
Ent,Cda
Ent,Fcgrt
Ent,Gm6034
Ent,Sema4g
Ent,Zfyve21
Ent,Pfkfb4
Ent,D130043K22Rik
Ent,Cyp4v3
Ent,C530008M17Rik
Ent,Ptdss1
Ent,Gm766
Ent,Tbc1d24
Ent,Cyb5b
Ent,Maoa
Ent,Vat1
Ent,Ehhadh
Ent,Naprt1
Ent,Slc3a2
Ent,Dhrs11
Ent,Sh3tc1
Ent,Irak2
Ent,Btnl4
Ent,Stx12
Ent,Dgat1
Ent,Acaa1a
Ent,Cyp4f16
Ent,Btnl5
Ent,Snx9
Ent,Ahnak
Ent,Fam109a
Ent,Edn3
Ent,Ccl25
Ent,Zdhhc7
Ent,Ppp1r14d
Ent,Slc43a2
Ent,Faah
Ent,Tymp
Ent,Acy1
Ent,Cyb5r3
Ent,Rnf13
Ent,Rxra
Ent,Dqx1
Ent,Snx13
Ent,Acnat1
Ent,Ticam1
Ent,Sidt2
Ent,Fam78a
Ent,Aldh18a1
Ent,Rmdn3
Ent,Sat1
Ent,Ckmt1
Ent,Txlng
Ent,Slc31a1
Ent,Slc25a36
Ent,Slc25a34
Ent,AU040320
Ent,Marc2
Ent,Aldob
Ent,Gm7030
Ent,Decr1
Ent,Sh3d21
Ent,Ugt1a1
Ent,Ccs
Ent,Kifc3
Ent,Slc18b1
Ent,Aprt
Ent,Slc22a1
Ent,Acp6
Ent,Ogdh
Ent,Tfg
Ent,Tstd1
Ent,Klc4
Ent,Itpk1
Ent,Bmp3
Ent,Pld1
Ent,Ezr
Ent,Coro2a
Ent,Ckb
Ent,Farp2
Ent,Pxdc1
Ent,Sar1b
Ent,Scp2
Ent,Ggact
Ent,Cst6
Ent,Sft2d2
Ent,Abr
Ent,Glt28d2
Ent,Slc34a2
Ent,Fam160a1
Ent,Pcyt1a
Ent,Tep1
Ent,Hadha
Ent,Ccdc88c
Ent,Lpcat3
Ent,Tbc1d14
Ent,Gucd1
Ent,Acadm
Ent,2210404O07Rik
Ent,Mvp
Ent,Actn4
Ent,Tspan15
Ent,Rufy3
Ent,Mcu
Ent,Spint1
Ent,Sfxn1
Ent,Alas1
Ent,Nipsnap3b
Ent,Tor1aip2
Ent,Casp1
Ent,Bpnt1
Ent,Baiap2l1
Ent,Ifngr2
Ent,Pex19
Ent,Myl12b
Ent,0610008F07Rik
Ent,Atp1a1
Ent,Itfg3
Ent,Dnpep
Ent,Akr7a5
Ent,Dlst
Ent,Ugt1a7c
Ent,Myo1d
Ent,Tmem120a
Ent,Cdh17
Ent,Acaa2
Ent,Apol11b
Ent,Hadh
Ent,Casp7
Ent,Acp5
Ent,Rfk
Ent,Aldh9a1
Ent,Vipr1
Ent,Txndc17
Ent,Phgr1
Ent,Eno1
Ent,Hsd17b4
Ent,Slc39a4
Ent,Nlrp6
Ent,Pttg1ip
Ent,Il17rc
Ent,Sqrdl
Ent,Net1
Ent,Lad1
Ent,Gm5177
Ent,Mdh2
Ent,2210016F16Rik
Ent,Erbb3
Ent,Proz
Ent,Tax1bp3
Ent,Pgd
Ent,Sult1d1
Ent,Gpi1
Ent,Prap1
Ent,Lypla1
EntProgEarly,Slc16a1
EntProgLate,Ccnb1
EntProgLate,Cdc20
EntProgLate,Cenpa
EntProgLate,Cdkn3
EntProgLate,Cdc25c
EntProgLate,Ccnb2
EntProgLate,Kif22
EntProgLate,Ube2c
EntProgLate,Sapcd2
EntProgLate,Rbp7
EntProgLate,Ccna2
EntProgLate,Aurka
EntProgLate,Cdkn2d
EntProgLate,Kif23
EntProgLate,Nek2
EntProgLate,Birc5
EntProgLate,Plk1
EntProgLate,Tacc3
EntProgLate,Melk
EntProgLate,Cdca3
EntProgLate,Hmmr
EntProgLate,Spc25
EntProgLate,Tpx2
EntProgLate,Arhgef39
EntProgLate,Bub1b
EntProgLate,1190002F15Rik
EntProgLate,Kif4
EntProgLate,Mad2l1
EntProgLate,Fbxl8
EntProgLate,Gpsm2
EntProgLate,Ckap2l
EntProgLate,Knstrn
EntProgLate,Id1
EntProgLate,Cmc2
EntProgLate,1810065E05Rik
EntProgLate,Cenpe
EntProgLate,Pif1
EntProgLate,Ckap5
EntProgLate,Cnih4
EntProgLate,Spc24
Goblet,Clca3
Goblet,Zg16
Goblet,Fcgbp
Goblet,Tff3
Goblet,Agr2
Goblet,Scin
Goblet,Pdia5
Goblet,Tpsg1
Goblet,Chst4
Goblet,Bcas1
Goblet,Bace2
Goblet,Galnt12
Goblet,Rep15
Goblet,S100a6
Goblet,Capn9
Goblet,Spdef
Goblet,Atoh1
Goblet,Guca2a
Goblet,Pla2g10
Goblet,Muc2
Goblet,Mlph
Goblet,AW112010
Goblet,Scnn1a
Goblet,Ern2
Goblet,Ttc39a
Goblet,Liph
Goblet,C1galt1c1
Goblet,Kcnk6
Goblet,Creb3l4
Goblet,Slc12a8
Goblet,Efcab4a
Goblet,Ptprr
Goblet,Klk1
Goblet,Tnfaip8
Goblet,Lrrc26
Goblet,C1galt1
Goblet,Galnt7
Goblet,Fam174b
Goblet,Sgsm3
Goblet,Galnt3
Goblet,Spats2l
Goblet,Ccl9
Goblet,Sytl2
Goblet,Car8
Goblet,Uap1
Goblet,Asph
Goblet,Slc50a1
Goblet,Smim14
Goblet,Creb3l1
Goblet,Hgfac
Goblet,Stard3nl
Goblet,Tspan13
Goblet,Gsn
Goblet,Capn8
Goblet,Gcnt3
Goblet,Txndc5
Goblet,Atp2c2
Goblet,Hpd
Goblet,Bhlhe40
Goblet,Tfcp2l1
Goblet,Qsox1
Goblet,St3gal6
Goblet,Rap1gap
Goblet,Kctd14
Goblet,Kdelr3
Goblet,Galnt10
Goblet,Dnajc10
Goblet,Sytl4
Goblet,Hid1
Goblet,Samhd1
Goblet,Fkbp11
Goblet,Galnt5
Goblet,Tmed3
Goblet,Ica1
Goblet,Pqlc3
Goblet,Tmem123
Goblet,Sdf2l1
Goblet,S100a14
Goblet,Ergic1
Goblet,Efcab4b
Goblet,Foxa3
Goblet,Stx17
Goblet,AI597468
Goblet,Fxyd3
Goblet,Cd97
Goblet,Csrp1
Goblet,Pdia6
Goblet,Tinagl1
Goblet,Rcan3
Goblet,Fam114a1
Goblet,Cmtm7
Goblet,Ppapdc1b
Goblet,Mon1a
Goblet,Slc7a4
Goblet,Tnfrsf21
Goblet,Tor3a
Goblet,Adrbk1
Goblet,P2rx4
Goblet,Myo5c
Goblet,Nipal2
Goblet,Tmem39a
Goblet,Sil1
Goblet,Slc17a9
Goblet,Mcf2l
Goblet,Rasa4
Goblet,Cgref1
Goblet,Galk2
Goblet,Wars
Goblet,Gm9994
Goblet,Edem1
Goblet,Mia3
Goblet,Slc35a1
Goblet,Tm9sf3
Goblet,Fhl1
Goblet,Sec24d
Goblet,Sel1l3
Goblet,Tmed9
Goblet,Cd9
Goblet,Rasd2
Goblet,Edem2
Goblet,Golph3l
Goblet,Arfip2
Goblet,Tsta3
Goblet,Tvp23b
Goblet,Rnf39
Goblet,E130003G02Rik
Goblet,Aacs
Goblet,Chrm1
Goblet,Fut4
Goblet,Vps37c
Goblet,Creld2
Goblet,Ikbip
Goblet,Nans
Goblet,Tpd52
Goblet,Tmem214
Goblet,Anxa3
Goblet,Rassf6
Goblet,Bcat2
Goblet,Tmem159
Goblet,Stxbp6
Goblet,Slc30a7
Goblet,Mansc1
Goblet,Gfpt1
Goblet,Gmppb
Goblet,Sybu
Goblet,Srd5a1
Goblet,Tram1
Goblet,Slc39a7
Goblet,Tmem248
Goblet,Bet1l
Goblet,Sec23ip
Goblet,Cog6
Goblet,Rab3d
Goblet,D630039A03Rik
Goblet,Prrc1
Goblet,Appl2
Goblet,1810055G02Rik
Goblet,Synj2
Goblet,1700066B19Rik
Goblet,Arfgap1
Goblet,Oit1
Goblet,Ehd4
Goblet,Stx5a
Goblet,Plcb1
Goblet,Ptger4
Goblet,Slc39a11
Goblet,5033406O09Rik
Goblet,Pllp
Goblet,Gpr20
Goblet,Spink4
Goblet,Nfkb2
Goblet,Tmco3
Goblet,Mllt3
Goblet,Gmppa
Goblet,D10Bwg1379e
Goblet,Cdk5rap3
Goblet,Smim6
Goblet,Parm1
Goblet,Fam69a
Goblet,1810007I06Rik
Goblet,Kcnh3
Goblet,Tspan1
Goblet,B3gnt7
Goblet,Entpd4
Goblet,Kdelr2
Goblet,Sppl2a
Goblet,Impad1
Goblet,Mgat3
Goblet,Cpd
Goblet,Asns
Goblet,Hyou1
Goblet,Uba7
Goblet,Dnajc3
Goblet,Golt1b
Goblet,Pygb
Goblet,Manf
Goblet,Xbp1
Goblet,Galntl6
Goblet,Hspa13
Goblet,Rab27b
Goblet,Rasef
Goblet,Itga2
Goblet,Gorasp1
Goblet,Pck1
Goblet,Pgm3
Goblet,Galnt6
Goblet,Vimp
Goblet,Golga5
Goblet,Sec16a
Goblet,Eif2ak3
Goblet,Osbpl2
Goblet,Zfp467
Goblet,Hdlbp
Goblet,Cbfa2t3
Goblet,Zbp1
Goblet,B3gnt5
Goblet,Far1
Goblet,0610007N19Rik
Goblet,Zfp330
Goblet,Gcc2
Goblet,Lman1
Goblet,Lamc2
Goblet,Herpud1
Goblet,Slc10a7
Goblet,Serp1
Goblet,Scamp1
Goblet,Gal3st2
Goblet,Odf2l
Goblet,Hilpda
Goblet,Cog3
