type,gene
Stem,1500012F01Rik
Stem,Casp12
Stem,Sh3rf1
Stem,Lrp4
Stem,Arhgef26
Stem,Etv6
Stem,1700024F13Rik
Stem,Cttnbp2
Stem,Slc16a13
Stem,Htr4
Stem,Pdxk
Stem,Immp2l
Stem,Rps15a-ps6
Stem,Rps15a-ps4
Stem,Nap1l1
Stem,Sdc4
Stem,Epn3
Stem,Sipa1l1
Stem,Wfdc15b
Stem,Zfp341
Stem,Ngef
Stem,Nrg4
Stem,Csad
Stem,Rpl34-ps1
Stem,Rin2
Stem,Cd81
Stem,Irf2bp2
Stem,Sesn3
Stem,Phlpp1
Stem,Yap1
Stem,Mfge8
Stem,Zfp825
Stem,Itga1
Stem,Pcdh8
Stem,Vdr
Stem,Kcnq1
Stem,Slc28a2
Stem,Zfp36l1
Stem,Urod
Stem,Rgs12
Stem,Nfib
Stem,Sdsl
Stem,Nfia
Tuft,Alox5ap
Tuft,Hck
Tuft,Lrmp
Tuft,Avil
Tuft,Trpm5
Tuft,Spib
Tuft,Rgs13
Tuft,Ltc4s
Tuft,Pygl
Tuft,Sh2d7
Tuft,Dclk1
Tuft,Alox5
Tuft,Pik3r5
Tuft,Fyb
Tuft,Vav1
Tuft,Matk
Tuft,Tspan6
Tuft,Strip2
Tuft,Pou2f3
Tuft,1810046K07Rik
Tuft,Ptpn6
Tuft,Bmx
Tuft,Tuba1a
Tuft,Espn
Tuft,Plcb2
Tuft,Ffar3
Tuft,Ccdc109b
Tuft,Plcg2
Tuft,Ly6g6f
Tuft,Hpgds
Tuft,Pea15a
Tuft,Ly6g6d
Tuft,Pik3cg
Tuft,Inpp5d
Tuft,Ccdc28b
Tuft,Snrnp25
Tuft,Kctd12
Tuft,Siglec5
Tuft,Skap2
Tuft,Ccdc129
Tuft,Nebl
Tuft,Gprc5c
Tuft,Rgs22
Tuft,Gfi1b
Tuft,Hmx3
Tuft,Cbr3
Tuft,Pfkfb3
Tuft,Prss53
Tuft,Itpr2
Tuft,Limd2
Tuft,Cd300lf
Tuft,Chn2
Tuft,Smpx
Tuft,Ptgs1
Tuft,A4galt
Tuft,Rac2
Tuft,Csk
Tuft,Slco4a1
Tuft,Ptpn18
Tuft,Chat
Tuft,Hebp1
Tuft,Ppp1r14c
Tuft,Dgki
Tuft,Inpp5j
Tuft,Tppp3
Tuft,Gng13
Tuft,Ildr1
Tuft,Cwh43
Tuft,Il17rb
Tuft,Ncf2
Tuft,Fut2
Tuft,Coprs
Tuft,Ddah1
Tuft,Tmem116
Tuft,Sucnr1
Tuft,Tmem176a
Tuft,Ccrl1
Tuft,1110007C09Rik
Tuft,Adcy5
Tuft,Fnbp1
Tuft,Plk2
Tuft,Hmx2
Tuft,Tmem141
Tuft,Krt23
Tuft,Gprc5a
Tuft,Rgs2
Tuft,Camk2b
Tuft,Fes
Tuft,Bpgm
Tuft,Acacb
Tuft,Il13ra1
Tuft,Zfp428
Tuft,Ppp1r3b
Tuft,Ccnj
Tuft,Bcl2l14
Tuft,Tmem229a
Tuft,Ethe1
Tuft,Runx1
Tuft,Gga2
Tuft,Apobec1
Tuft,Serpini1
Tuft,St6galnac6
Tuft,Fbxl21
Tuft,9030624J02Rik
Tuft,Inpp5b
Tuft,Samd14
Tuft,Pgm2l1
Tuft,Pla2g4a
Tuft,Ptprc
Tuft,Aldh2
Tuft,Ifi27l1
Tuft,Pnpla3
Tuft,Jarid2
Tuft,Rgs19
Tuft,Reep5
Tuft,Tiparp
Tuft,Gnai2
Tuft,Fam49a
Tuft,Cacna2d2
Tuft,Ypel2
Tuft,Cd24a
Tuft,Acot7
Tuft,Svil
Tuft,Abhd16a
Tuft,Fam101a
Tuft,Trim40
Tuft,Trak1
Tuft,Sec14l1
Tuft,4930539E08Rik
Tuft,Smtn
Tuft,Galk1
Tuft,Tbc1d1
Tuft,Tmem176b
Tuft,Fcna
Tuft,Abhd2
Tuft,Hsbp1l1
Tuft,Slc4a8
Tuft,Myo1b
Tuft,Tmem38b
Tuft,Hk1
Tuft,Neurl1a
Tuft,Dmxl2
Tuft,Bub3
Tuft,Ptprj
Tuft,Trib2
Tuft,Stard5
Tuft,Ubtd1
Tuft,Slc41a3
Tuft,Plekhg5
Tuft,Rbm38
Tuft,Fam57a
Tuft,Eef2k
Tuft,Cables2
Tuft,Fbxo25
Tuft,Ap1s2
Tuft,1300002K09Rik
Tuft,Ero1lb
Tuft,Clmn
Tuft,Fam49b
Tuft,Cpvl
Tuft,Prr15
Tuft,Lpcat4
Tuft,Tmem74b
Tuft,Mn1
Tuft,Eppk1
Tuft,Samd9l
Tuft,Tmem245
Tuft,Glyctk
Tuft,Aldh3a2
Tuft,Ppp3ca
Tuft,Cpne3
Tuft,Slc4a7
Tuft,Nfatc1
Tuft,Kit
Tuft,Fam117b
Tuft,Nradd
Tuft,Tmem121
Tuft,Cpm
Tuft,Asah1
Tuft,Slc9a9
Tuft,Ubl7
Tuft,Abca3
Tuft,Pde6d
Tuft,Bmp2
Tuft,Kdm4a
Tuft,Camkk2
Tuft,Arhgap8
Tuft,Agt
Tuft,Ptpra
Tuft,Adh1
Tuft,Dusp14
Tuft,Clic4
Tuft,Gimap1
Tuft,Cpne5
Tuft,Ceacam2
Tuft,Zfp710
Tuft,Gcnt1
Tuft,B4galt5
Tuft,Suco
Tuft,Pim3
Tuft,Ogdhl
Tuft,Oas1g
Tuft,Dcp1b
Tuft,Myzap
Tuft,Cdkn1a
Tuft,Cd37
Tuft,Brms1
Tuft,Lrrc42
Tuft,Pld2
Tuft,Tmem9
Tuft,Cpeb4
Tuft,Ssx2ip
Tuft,Ddah2
Tuft,Tmem65
Tuft,5430417L22Rik
Tuft,2210016L21Rik
Tuft,Msi2
Tuft,B4galt4
Tuft,Rabgap1l
Tuft,Pik3r3
Tuft,Nt5c3
Tuft,Palld
Tuft,AA467197
Tuft,Pip5k1b
Tuft,Krt18
Tuft,Map1a
Tuft,Lmf1
Tuft,Arhgef28
Tuft,Nsfl1c
Tuft,Txndc16
Tuft,Pstpip2
Tuft,Ttll11
Tuft,Exph5
Tuft,2700086A05Rik
Tuft,Gadd45a
Tuft,Plekhs1
Tuft,Fam188a
Tuft,Jmy
Tuft,Atat1
Tuft,Arhgef2
Tuft,Lmbr1
Tuft,Rhoc
Tuft,Card10
Tuft,Kcnj16
Tuft,Arhgap4
Tuft,Acsl4
Tuft,Rhog
Tuft,Fam221a
Tuft,Dynlt1b
Tuft,C2
Tuft,Zbtb41
Tuft,Socs1
Tuft,Atp6ap1
Tuft,Fam171a1
Tuft,Wnk2
Tuft,Kcnd3
Tuft,Slc27a1
Tuft,Atxn1
Tuft,Rabgap1
Tuft,Myrfl
Tuft,Crot
Tuft,Tm4sf4
Tuft,Ube2j1
Tuft,Sort1
Tuft,Lima1
Tuft,Mov10
Tuft,Lca5
Tuft,Gimap9
Tuft,Mlip
Tuft,1110008P14Rik
Tuft,Ckap4
Tuft,Tor4a
Tuft,Rmdn1
Tuft,Oas2
Tuft,Dsp
Tuft,Sox9
Tuft,Osbpl3
Tuft,Kif21b
Tuft,Tbcb
Tuft,Arap2
Tuft,Casp3
Tuft,Enc1
Tuft,Il25
Tuft,Lman2l
Tuft,Zmiz1
Tuft,Nav2
Tuft,Atp2a3
Tuft,Gimap8
Tuft,Folr1
Tuft,Fn1
Tuft,Hspa4l
Tuft,Sufu
Tuft,Atp8a1
Tuft,Vps53
Tuft,Rgs14
Tuft,Gm17660
Tuft,Pdcl
Tuft,Shkbp1
Tuft,Oas1a
Tuft,Pkp1
Tuft,Ccdc23
Tuft,Il4ra
Tuft,1700112E06Rik
Tuft,Dvl1
Tuft,Zfhx3
Tuft,Adam22
Tuft,Gramd1c
Tuft,Tmem45b
Tuft,Unc5b
Tuft,Mical3
Tuft,Kctd13
Tuft,Ak7
Tuft,Tcta
Tuft,Nek7
Tuft,D730039F16Rik
Tuft,Plekho2
Tuft,Myo6
Tuft,Chdh
Tuft,Opn3
Tuft,Tle3
Tuft,Ttll10
Tuft,Strada
Tuft,Ypel3
Tuft,Cmip
Tuft,Cachd1
Tuft,Pigc
Tuft,Atp6v1d
Tuft,Rdx
Tuft,S100a11
Tuft,Spa17
Tuft,Gimap5
Tuft,Cystm1
Tuft,Zdhhc17
Tuft,Lect2
Tuft,Vdac3
Tuft,Hspb11
Tuft,Gm4952
Tuft,Slc16a2
Tuft,Abhd5
Tuft,Rhbdf1
Tuft,Cblb
Tuft,Nfe2l3
Tuft,Pla2g16
Tuft,Sept8
Tuft,Gpcpd1
Tuft,Psd3
Tuft,Anxa11
Tuft,Slc25a12
Tuft,Ehf
Tuft,Akr1b10
Tuft,Dapp1
Tuft,Vmn2r26
Tuft,Esyt1
Tuft,Ppt1
Tuft,Cd47
Tuft,Chi3l1
Tuft,Mical1
Tuft,Gna14
Tuft,Pacs2
Tuft,Lyn
Tuft,Rmnd5a
Tuft,Ankrd12
Tuft,BC022687
Tuft,Rit1
Tuft,Camta2
Tuft,Mocs2
Tuft,Usp49
Tuft,Nrbp2
Tuft,Ifnar2
Tuft,Epha4
Tuft,Arl5a
Tuft,Rgl2
Tuft,St18
Tuft,BC016579
Tuft,Tead1
Tuft,Enpp4
Tuft,Tmem158
Tuft,Tnfaip3
Tuft,Gys1
Tuft,Hivep2
Tuft,Cap1
Tuft,Slc4a2
Tuft,Map4k4
Tuft,Desi1
Tuft,H2-D1
Tuft,Man2a1
Tuft,Cyp17a1
Tuft,Cyhr1
Tuft,Morf4l1
Tuft,Mllt4
Tuft,Phf17
Tuft,Stox2
Tuft,Hist3h2a
Tuft,Hdac6
Tuft,Prox1
Tuft,Dtnb
Tuft,Lrch4
Tuft,Spire2
Tuft,Klf6
Tuft,Rab5b
Tuft,Anxa4
Tuft,Rab4b
Tuft,Iqsec1
Tuft,Pdpk1
Tuft,Stk40
Tuft,Gde1
Tuft,Mtmr11
Tuft,Cib2
Tuft,March2
Tuft,Capg
Tuft,Narf
Tuft,Mgst3
Tuft,Angel1
Tuft,Bicd1
Tuft,Ifitm1
Tuft,Stx3
Tuft,S100a1
Tuft,Omd
Tuft,0610040J01Rik
Tuft,Arpc5
Tuft,Homer3
Tuft,Cdc42se1
Tuft,Abcc3
Tuft,Hsf2
Tuft,Pnpla6
Tuft,Ccdc68
Tuft,Fryl
Tuft,Lmtk2
Tuft,Tas1r3
Tuft,4931406H21Rik
Tuft,Uspl1
Tuft,Ajuba
Tuft,Kalrn
Tuft,Basp1
Tuft,Pip5kl1
Tuft,Slc26a2
Tuft,Atp2b2
Tuft,Smug1
Tuft,Myadm
Tuft,D330041H03Rik
Tuft,Wdfy2
Tuft,Trim38
Tuft,Arf3
Tuft,Scand1
Tuft,Dpysl2
Tuft,Ndufaf3
Tuft,Sik1
Tuft,Wdr7
Tuft,Sfxn3
Tuft,Kcnq4
Tuft,Mll1
Tuft,Hsbp1
Tuft,Calml4
Tuft,Atf7ip
Tuft,Gpr137b-ps
Tuft,Hap1
Tuft,Kctd15
Tuft,Prcp
Tuft,9430023L20Rik
Tuft,Gmip
Tuft,Cmtm3
Tuft,Madd
Tuft,Krt222
Tuft,Nsf
Tuft,Klhl28
Tuft,Pparg
Tuft,Eml3
Tuft,Phlda1
Tuft,P2rx1
Tuft,Pde9a
Tuft,Otud7b
Tuft,Tfpi2
Tuft,Rilpl2
Tuft,Klf3
Tuft,Gyg
Tuft,4930455F23Rik
Tuft,Armcx1
Tuft,Lzts2
Tuft,Plek
Tuft,Vamp8
Tuft,Stat2
Tuft,Znf512b
Tuft,Ptplad1
Tuft,1110058L19Rik
Tuft,Tmem160
Tuft,Tmem51
Tuft,Cdhr5
Tuft,Stk38
Tuft,Atp13a2
Tuft,Nptn
Tuft,Sirt5
Tuft,Gabarapl2
Tuft,Nudt14
Tuft,2010111I01Rik
Tuft,Alkbh7
Tuft,Slc18a3
Tuft,4930427A07Rik
Tuft,Ttll7
Tuft,Acss2
Tuft,Siae
