type	gene_id
Paneth-like	SH3KBP1
Paneth-like	OSTF1
Paneth-like	VAMP8
Paneth-like	EIF4A2
Paneth-like	FTH1
Paneth-like	CASP1
Paneth-like	VSIG2
Paneth-like	MYL6
Paneth-like	ALDH2
Paneth-like	PDLIM1
Paneth-like	EPCAM
Paneth-like	IFI27
Paneth-like	CD63
Paneth-like	CHP2
Paneth-like	RNASET2
Paneth-like	TMSB4X
Paneth-like	HLA-E
Paneth-like	QSOX1
Paneth-like	ARPC3
Paneth-like	S100A14
Paneth-like	OAZ1
Paneth-like	SPG21
Paneth-like	ARPC1B
Paneth-like	ATP6V0B
Paneth-like	ASAH1
Paneth-like	SAT1
Paneth-like	ADRA2A
Paneth-like	STAP2
Paneth-like	PLSCR1
Enteriendocrine	PAM
Enteriendocrine	MS4A8
Enteriendocrine	SCGN
Enteriendocrine	MDK
Enteriendocrine	RPS9
Enteriendocrine	TUBA1A
Enteriendocrine	PCSK1N
Enteriendocrine	MARCKSL1
Enteriendocrine	GPX4
Enteriendocrine	PTMS
Enteriendocrine	KCTD12
Enteriendocrine	INSM1
Enteriendocrine	KIF9
Enteriendocrine	CPE
Enteriendocrine	LINC01420
Enteriendocrine	SAT2
Enteriendocrine	CHGA
Enteriendocrine	UCP2
Enteriendocrine	C12orf75
Enteriendocrine	BTG2
Enteriendocrine	EIF3F
Enteriendocrine	RPL41
Enteriendocrine	BEX2
Enteriendocrine	RPL3
Enteriendocrine	NGFRAP1
Enteriendocrine	ODC1
Enteriendocrine	SLC25A6
Enteriendocrine	FEV
Enteriendocrine	CRYBA2
Enteriendocrine	CACNA1A
Enteriendocrine	RIIAD1
Enteriendocrine	OAZ2
Enteriendocrine	ELF2
Enteriendocrine	TPPP3
Enteriendocrine	NR4A2
Enteriendocrine	PLA2G12A
Enteriendocrine	RPS13
Enteriendocrine	SNRPN
Enteriendocrine	GUCY2C
Enteriendocrine	HOXB9
Enteriendocrine	RNASEH2C
Enteriendocrine	CD74
Enteriendocrine	HINT3
Enteriendocrine	C7orf73
Enteriendocrine	SEC11C
Enteriendocrine	RPS2
Enteriendocrine	SNHG9
Enteriendocrine	RAB26
Enteriendocrine	RPL7
Enteriendocrine	NOVA1
Enteriendocrine	H1FX
Enteriendocrine	C7orf50
Enteriendocrine	MIF
Enteriendocrine	RPL6
Enteriendocrine	KMT2A
Enteriendocrine	MIR7-3HG
Enteriendocrine	SS18L2
Enteriendocrine	TRIQK
Enteriendocrine	RPL15
Enteriendocrine	ZSCAN16-AS1
Enteriendocrine	NAP1L1
Enteriendocrine	PRDX5
Enteriendocrine	BIN1
Enteriendocrine	SCG5
Enteriendocrine	STMN1
Enteriendocrine	BNIP3
Enteriendocrine	PEMT
Enteriendocrine	NHP2
Enteriendocrine	PYY
Enteriendocrine	GABARAP
Enteriendocrine	EGR1
Enteriendocrine	EID1
Enteriendocrine	LLNLR-245B6.1
Enteriendocrine	MYL6B
Enteriendocrine	MSL1
Enteriendocrine	HMGN3
Enteriendocrine	SMIM6
Enteriendocrine	FUS
Enteriendocrine	CALM1
Enteriendocrine	BNIP3L
Enteriendocrine	PDAP1
Enteriendocrine	CCNB1IP1
Enteriendocrine	MZT2B
Enteriendocrine	GNG4
Enteriendocrine	PCF11
Enteriendocrine	SNRNP25
Enteriendocrine	CERS6
Enteriendocrine	DDA1
Enteriendocrine	ARFGEF3
Progenitor	ADH1C
Progenitor	TXN
Progenitor	PEBP1
Progenitor	ATP5G1
Progenitor	RPL6
Progenitor	RPL5
Progenitor	MGST1
TA	HMGB1
TA	HMGN2
TA	H2AFZ
TA	PTMA
TA	STMN1
TA	TUBA1B
TA	HMGB2
TA	CENPW
TA	TUBB
TA	RAN
TA	TK1
TA	LSM5
TA	RANBP1
TA	IDH2
TA	HSPD1
TA	DTYMK
TA	PTTG1
TA	SNRPB
TA	ANP32B
TA	BIRC5
TA	HNRNPA1
TA	HMGN1
TA	KIAA0101
TA	DEK
TA	TYMS
TA	NUCKS1
TA	H2AFV
TA	LDHB
TA	MKI67
TA	PLP2
TA	HSP90AA1
TA	LSM4
TA	ARL6IP1
TA	PPIA
TA	MAD2L1
TA	SNRPD1
TA	LSM3
TA	ZWINT
TA	NUDT1
TA	GGH
TA	CENPM
TA	CKS1B
TA	CDKN3
TA	DUT
TA	FABP5
TA	GSTP1
TA	SMC2
TA	TOP2A
TA	LMNB1
TA	HMGA1
TA	SMC4
TA	SNRPG
TA	SIVA1
TA	RRM2
TA	CHCHD2
TA	NPM1
TA	RPA3
TA	SNRPF
TA	NAA38
TA	RPSA
TA	HNRNPA2B1
TA	NAP1L1
TA	MZT2A
TA	CENPF
TA	HNRNPA3
TA	MIF
TA	YBX1
TA	SKA2
TA	HIST1H4C
TA	WDR34
TA	HSP90AB1
TA	HSPE1
TA	UBE2C
TA	HMGB3
TA	UBE2T
TA	RNASEH2A
TA	IMPDH2
TA	PA2G4
TA	TOMM40
TA	ERH
TA	GAPDH
TA	CDC20
TA	TPI1
TA	PBK
TA	CCDC34
TA	OLFM4
TA	MLEC
TA	BANF1
TA	CKS2
TA	NASP
TA	ILF2
TA	ASF1B
TA	GGCT
TA	SRP9
TA	AHCY
TA	STRA13
TA	ENO1
TA	CKLF
TA	EEF1B2
TA	ANAPC11
TA	SRSF3
TA	CCNB2
TA	TAGLN2
TA	SNRPD2
TA	DHFR
TA	PRDX3
TA	PTGES3
TA	CDK4
TA	C1QBP
TA	MRPL11
TA	CACYBP
TA	RPS3
TA	GLO1
TA	MGST1
TA	LSM2
TA	PRPS2
TA	ANP32E
TA	CENPN
TA	CENPK
TA	KIF20B
TA	NUSAP1
